3585452,"{'name': 'A Beautiful Brownstone Apartment', 'neighborhood': 'Manhattan', 'person_cap': 4, 'bedrooms': 3, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 319, 'prop_type': 'Entire apartment', 'guests': '4 guests', 'star': 5.0, 'avg_rating': 4.76, 'min_nights': 2, 'max_nights': 30, 'price': 91.0}"
27678634,"{'name': 'Brooklyn Chill &amp; Explore', 'neighborhood': 'Crown Heights', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen', 'reviews': 87, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.64, 'min_nights': 2, 'max_nights': 25, 'price': 25.0}"
31711274,"{'name': 'Contemporary, Cozy  Retreat', 'neighborhood': 'Brooklyn', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 75, 'prop_type': 'Entire house', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.8, 'min_nights': 2, 'max_nights': 1125, 'price': 65.0}"
593292,"{'name': 'Penthouse Studio East 50s Terrace', 'neighborhood': 'Midtown', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 353, 'prop_type': 'Entire apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.53, 'min_nights': 1, 'max_nights': 1125, 'price': 150.0}"
6438456,"{'name': 'Private! entire studio, own entrance, private bath', 'neighborhood': 'Bushwick', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 239, 'prop_type': 'Entire apartment', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.82, 'min_nights': 1, 'max_nights': 1124, 'price': 60.0}"
903972,"{'name': 'Great Bedroom in Manhattan', 'neighborhood': 'Manhattan', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 638, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.26, 'min_nights': 1, 'max_nights': 28, 'price': 49.0}"
16627548,"{'name': '""Desirable Deal on The Park""', 'neighborhood': 'Manhattan', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 161, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.6, 'min_nights': 1, 'max_nights': 1125, 'price': 50.0}"
521672,"{'name': 'Luxury Loft in Creative &amp; Fun Apt', 'neighborhood': 'Williamsburg', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 171, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.62, 'min_nights': 4, 'max_nights': 60, 'price': 69.0}"
565677,"{'name': 'LARGE SUNNY ROOM 15 MIN to NYC !', 'neighborhood': None, 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 338, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.83, 'min_nights': 2, 'max_nights': 30, 'price': 49.0}"
27584413,"{'name': 'Chic Designer Home Guest Studio', 'neighborhood': 'Queens', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 91, 'prop_type': 'Entire townhouse', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.9, 'min_nights': 2, 'max_nights': 1125, 'price': 63.0}"
17339881,"{'name': 'Brownstone Studio', 'neighborhood': 'Brooklyn', 'person_cap': 4, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 138, 'prop_type': 'Entire apartment', 'guests': '4 guests', 'star': 4.5, 'avg_rating': 4.72, 'min_nights': 3, 'max_nights': 29, 'price': 86.0}"
32678720,"{'name': 'Great Room in the heart of Times Square!', 'neighborhood': 'Times Square/Theatre District', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 224, 'prop_type': 'Room in hotel', 'guests': '2 guests', 'star': 4.0, 'avg_rating': 4.21, 'min_nights': 1, 'max_nights': 1125, 'price': 109.0}"
14274403,"{'name': 'New York City Getaway; very close to LGA', 'neighborhood': 'East Elmhurst', 'person_cap': 3, 'bedrooms': 2, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 109, 'prop_type': 'Entire guest suite', 'guests': '3 guests', 'star': 5.0, 'avg_rating': 4.85, 'min_nights': 2, 'max_nights': 31, 'price': 10.0}"
9167889,"{'name': 'A Unique studio apartment', 'neighborhood': 'Manhattan', 'person_cap': 3, 'bedrooms': 3, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 245, 'prop_type': 'Entire apartment', 'guests': '3 guests', 'star': 5.0, 'avg_rating': 4.76, 'min_nights': 2, 'max_nights': 30, 'price': 90.0}"
858695,"{'name': 'Very Large Private Room on quiet st', 'neighborhood': 'The Bronx', 'person_cap': 3, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 313, 'prop_type': 'Private room in apartment', 'guests': '3 guests', 'star': 4.5, 'avg_rating': 4.57, 'min_nights': 2, 'max_nights': 30, 'price': 30.0}"
19638293,"{'name': 'Studio Apartment Minutes Away from Times Square', 'neighborhood': None, 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 163, 'prop_type': 'Entire apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.7, 'min_nights': 1, 'max_nights': 1125, 'price': 69.0}"
10748040,"{'name': 'On Broadway, clean &amp; comfy room', 'neighborhood': 'Manhattan', 'person_cap': 1, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating', 'reviews': 143, 'prop_type': 'Private room in apartment', 'guests': '1 guest', 'star': 5.0, 'avg_rating': 4.84, 'min_nights': 3, 'max_nights': 1125, 'price': 50.0}"
32844588,"{'name': '2 Single Beds ★ Renovated ★ Next to Times Square', 'neighborhood': 'Times Square/Theatre District', 'person_cap': 2, 'bedrooms': 2, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 52, 'prop_type': 'Room in hotel', 'guests': '2 guests', 'star': 4.0, 'avg_rating': 4.12, 'min_nights': 1, 'max_nights': 1125, 'price': 90.0}"
2062476,"{'name': 'A room in private house - 20-35 minutes  from NYC', 'neighborhood': None, 'person_cap': 2, 'bedrooms': 0, 'bathrooms': 1.5, 'amenities': 'Wifi,Kitchen,Heating', 'reviews': 157, 'prop_type': 'Private room in house', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.65, 'min_nights': 1, 'max_nights': 5, 'price': 23.0}"
7858468,"{'name': ""The Artist's Experience"", 'neighborhood': ""Hell's Kitchen"", 'person_cap': 1, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 341, 'prop_type': 'Private room in apartment', 'guests': '1 guest', 'star': 5.0, 'avg_rating': 4.9, 'min_nights': 1, 'max_nights': 10, 'price': 100.0}"
4226098,"{'name': ""W. 80's Central Park 3 Blocks Walk"", 'neighborhood': 'Upper West Side', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 341, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.64, 'min_nights': 1, 'max_nights': 21, 'price': 74.0}"
903947,"{'name': 'Beautiful Bedroom in Manhattan', 'neighborhood': 'Manhattan', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 622, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.34, 'min_nights': 1, 'max_nights': 28, 'price': 49.0}"
21620762,"{'name': '1 Bedroom apartment', 'neighborhood': 'Manhattan', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 112, 'prop_type': 'Entire apartment', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.95, 'min_nights': 4, 'max_nights': 1125, 'price': 120.0}"
4553528,"{'name': 'Brownstone Williamsburg room with skylight Create', 'neighborhood': 'Williamsburg', 'person_cap': 1, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 229, 'prop_type': 'Private room in apartment', 'guests': '1 guest', 'star': 4.5, 'avg_rating': 4.71, 'min_nights': 1, 'max_nights': 365, 'price': 35.0}"
19121954,"{'name': 'Central Location, 1 Block from Subway, Great Price', 'neighborhood': 'Brooklyn', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 2.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 207, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.63, 'min_nights': 1, 'max_nights': 1125, 'price': 52.0}"
14807332,"{'name': 'Duplex with Private Bathroom by Times Square', 'neighborhood': ""Hell's Kitchen"", 'person_cap': 2, 'bedrooms': 2, 'bathrooms': 1.5, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 352, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.77, 'min_nights': 1, 'max_nights': 1125, 'price': 92.0}"
24288869,"{'name': 'Private Room+Beautiful Private Backyard Near City', 'neighborhood': 'Ridgewood', 'person_cap': 3, 'bedrooms': 2, 'bathrooms': 2.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 94, 'prop_type': 'Private room in apartment', 'guests': '3 guests', 'star': 4.5, 'avg_rating': 4.49, 'min_nights': 1, 'max_nights': 25, 'price': 33.0}"
15896529,"{'name': 'Bright room with private bathroom and rooftop', 'neighborhood': 'Manhattan', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 137, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 4.5, 'avg_rating': 4.51, 'min_nights': 6, 'max_nights': 60, 'price': 98.0}"
4936023,"{'name': 'Nice studio in Midtown Manhattan', 'neighborhood': 'Midtown', 'person_cap': 3, 'bedrooms': 2, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 180, 'prop_type': 'Entire apartment', 'guests': '3 guests', 'star': 4.5, 'avg_rating': 4.66, 'min_nights': 2, 'max_nights': 1124, 'price': 119.0}"
20573006,"{'name': 'Cute Quirky Garden apt, NYC adjacent', 'neighborhood': None, 'person_cap': 4, 'bedrooms': 2, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 148, 'prop_type': 'Entire apartment', 'guests': '4 guests', 'star': 5.0, 'avg_rating': 4.8, 'min_nights': 1, 'max_nights': 90, 'price': 68.0}"
31567374,"{'name': 'Classic Brownstone Apt in a Historic Neighborhood', 'neighborhood': None, 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 47, 'prop_type': 'Entire apartment', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.98, 'min_nights': 2, 'max_nights': 1125, 'price': 89.0}"
4282178,"{'name': 'A Superhost SALE! DELUXE Room!', 'neighborhood': 'Brooklyn', 'person_cap': 3, 'bedrooms': 2, 'bathrooms': 1.0, 'amenities': 'Wifi,Heating,Air conditioning', 'reviews': 380, 'prop_type': 'Private room in apartment', 'guests': '3 guests', 'star': 4.5, 'avg_rating': 4.51, 'min_nights': 1, 'max_nights': 1125, 'price': 53.0}"
945297,"{'name': 'East Village Gay Friendly Dbl Room', 'neighborhood': 'Alphabet City', 'person_cap': 2, 'bedrooms': 1, 'bathrooms': 1.0, 'amenities': 'Wifi,Kitchen,Heating,Air conditioning', 'reviews': 449, 'prop_type': 'Private room in apartment', 'guests': '2 guests', 'star': 5.0, 'avg_rating': 4.73, 'min_nights': 1, 'max_nights': 1125, 'price': 74.0}"
